ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"61.4.234.239","elite","AS18313","KR","LG HelloVision Corp.","280","HVBuk-incheon","8080","socks5","1126","1","2023-03-09T11:04:28.235Z","92","1094","1192"
"167.99.50.159","elite","AS14061","US","DigitalOcean, LLC","84","Digital Ocean","45788","socks5","1013","1","2023-03-09T11:01:21.513Z","91","1104","1208"
"146.56.150.146","elite","AS31898","KR","Oracle Corporation","247","Oracle Cloud Infrastructure (ap-seoul-1)","32241","socks5","1045","1","2023-03-09T11:04:20.055Z","93","1113","1192"
"161.35.125.167","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","7497","socks5","1205","1","2023-03-09T11:07:35.693Z","100","1205","1208"
"185.209.177.12","elite","AS396356","US","Latitude.sh","145","Latitude.sh","46925","socks5","1116","1","2023-03-09T11:05:41.437Z","100","1188","1192"
"51.75.83.94","elite","AS16276","DE","OVH SAS","11","mizbandadehpardazi Mobinh","1080","socks5","1090","1","2023-03-09T11:07:57.783Z","94","1132","1210"
"137.184.34.178","elite","AS14061","US","DigitalOcean, LLC","150","DigitalOcean, LLC","12345","socks5","825","1","2023-03-09T11:08:03.353Z","71","841","1190"
"167.172.119.162","elite","AS14061","US","DigitalOcean, LLC","145","DigitalOcean, LLC","7497","socks5","1030","1","2023-03-09T11:02:24.658Z","100","1207","1209"
"75.119.202.21","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","15745","socks5","1107","1","2023-03-09T11:06:36.361Z","100","1191","1191"
"119.8.111.196","elite","AS136907","HK","Huawei International Pte. LTD","260","N/A","1080","socks5","1041","1","2023-03-09T11:02:38.435Z","93","1121","1209"
"222.129.39.209","elite","AS4808","CN","China Unicom Beijing Province Network","245","N/A","57114","socks5","1184","1","2023-03-09T11:03:27.328Z","71","840","1191"
"46.101.230.20","elite","AS14061","DE","DigitalOcean, LLC","23","Digital Ocean","7497","socks5","1102","1","2023-03-09T11:07:03.985Z","100","1210","1210"
"123.155.48.196","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","185","N/A","1080","socks5","1083","1","2023-03-09T11:03:01.093Z","56","669","1191"
"202.43.237.50","elite","AS133115","HK","HK Kwaifong Group Limited","310","HK Kwaifong Group Limited","8009","socks5","1247","1","2023-03-09T11:05:20.029Z","98","1187","1210"
"75.119.206.112","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","1145","1","2023-03-09T11:05:09.854Z","100","1191","1191"
"144.202.5.48","elite","AS20473","US","The Constant Company","87","Vultr Holdings, LLC","10053","socks5","818","1","2023-03-09T11:08:00.979Z","65","788","1209"
"139.162.151.176","elite","AS63949","DE","Akamai Technologies, Inc.","10","Linode, LLC","9050","socks5","996","1","2023-03-09T11:02:32.078Z","100","1190","1190"
"172.67.187.242","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1003","1","2023-03-09T11:02:30.703Z","100","1210","1210"
"182.32.234.194","elite","AS4134","CN","Chinanet","231","Chinanet SD","9999","socks5","1052","1","2023-03-09T11:05:27.325Z","44","528","1191"
"66.29.128.241","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","65348","socks5","1034","1","2023-03-09T11:02:15.093Z","100","1205","1207"
"95.161.151.238","elite","AS8492","RU","\"OBIT\" Ltd.","44","EKS","1080","socks5","1062","1","2023-03-09T11:05:55.189Z","100","1187","1190"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","14","DigitalOcean, LLC","29321","socks5","1155","1","2023-03-09T11:02:40.570Z","100","1211","1211"
"51.81.31.64","elite","AS16276","US","OVH SAS","80","OVH US LLC","22505","socks5","1161","1","2023-03-09T11:05:24.839Z","99","1182","1190"
"5.39.19.152","elite","AS16276","FR","OVH ISP","4","Caunes Sebastien","46529","socks5","1236","1","2023-03-09T11:04:06.798Z","100","1207","1208"
"202.107.74.24","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","166","N/A","7312","socks5","1194","1","2023-03-09T11:06:25.225Z","95","1128","1190"
"31.41.90.142","elite","AS41820","UA","New Information Systems PP","36","PPNEW","1080","socks5","1146","1","2023-03-09T11:07:06.573Z","98","1187","1210"
"82.99.204.198","elite","AS16322","IR","ParsOnline Co","102","N/A","1080","socks5","938","1","2023-03-09T11:04:22.208Z","86","1021","1190"
"100.36.158.82","elite","AS701","US","Verizon Communications","92","MCI Communications Services, Inc. d/b/a Verizon Business","8888","socks5","1181","1","2023-03-09T11:07:28.190Z","100","1206","1207"
"212.83.142.114","elite","AS12876","FR","Online S.A.S.","1","ONLINE","32344","socks5","1142","1","2023-03-09T11:06:27.870Z","100","1190","1190"
"69.163.165.253","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","47876","socks5","1174","1","2023-03-09T11:06:40.569Z","100","1207","1209"
"43.129.210.41","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","314","Tencent Cloud Computing","10809","socks5","1142","1","2023-03-09T11:05:51.088Z","100","1186","1191"
"165.225.94.122","elite","AS62044","CH","Zscaler Switzerland GmbH","25","Zscaler, Inc","10605","socks5","1207","1","2023-03-09T11:07:37.519Z","70","850","1207"
"140.250.146.239","elite","AS4134","CN","Chinanet","199","Chinanet SD","1080","socks5","1006","1","2023-03-09T11:01:23.068Z","91","1086","1189"
"91.135.80.66","elite","AS43513","LV","Sia Nano IT","47","SIA Infonet Sistemas","33427","socks5","1108","1","2023-03-09T11:01:24.430Z","100","1203","1209"
"221.195.143.239","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","199","N/A","55653","socks5","1133","1","2023-03-09T11:06:23.383Z","99","1173","1189"
"142.93.113.81","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","7497","socks5","1068","1","2023-03-09T11:03:14.350Z","100","1208","1208"
"207.244.246.118","elite","AS40021","US","Contabo Inc.","98","Contabo Inc","7497","socks5","1200","1","2023-03-09T11:06:44.826Z","100","1185","1189"
"192.95.42.140","elite","AS16276","CA","OVH Hosting","82","N/A","1080","socks5","646","1","2023-03-09T11:03:59.566Z","96","1161","1211"
"188.68.52.220","elite","AS197540","DE","netcup GmbH","21","NETCUP-GMBH","9050","socks5","1149","1","2023-03-09T11:07:46.833Z","100","1190","1190"
"124.131.202.102","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","194","N/A","3128","socks5","1064","1","2023-03-09T11:03:24.409Z","39","471","1207"
"75.119.203.97","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","1084","1","2023-03-09T11:05:03.162Z","100","1190","1190"
"166.62.52.25","elite","AS26496","US","GoDaddy.com, LLC","138","GoDaddy.com, LLC","30867","socks5","1013","1","2023-03-09T11:02:21.607Z","86","1042","1209"
"104.19.120.84","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1273","1","2023-03-09T11:04:54.852Z","100","1187","1188"
"188.92.242.106","elite","AS25227","RU","JSC Avantel","50","Avantel, Close Joint Stock Company","8088","socks5","1074","1","2023-03-09T11:02:42.992Z","97","1167","1208"
"201.121.249.246","elite","AS8151","MX","Uninet S.A. de C.V","188","Gestión de direccionamiento UniNet","8080","socks5","1110","1","2023-03-09T11:03:08.211Z","75","891","1189"
"104.255.170.63","elite","AS397373","US","H4Y Technologies LLC","153","N/A","60899","socks5","903","1","2023-03-09T11:06:46.358Z","99","1203","1210"
"103.75.150.18","elite","AS135475","ID","Pemerintah Kabupaten Banyuasin","162","N/A","8080","socks5","1412","1","2023-03-09T11:07:13.448Z","97","1175","1206"
"192.3.127.220","elite","AS36352","US","ColoCrossing","140","RackNerd LLC","45776","socks5","1095","1","2023-03-09T11:03:15.015Z","35","420","1187"
"108.26.234.210","elite","AS701","US","Verizon Communications","97","MCI Communications Services, Inc. d/b/a Verizon Business","9050","socks5","1157","1","2023-03-09T11:02:14.761Z","100","1186","1188"
"142.93.250.71","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","7497","socks5","1078","1","2023-03-09T11:04:47.253Z","100","1205","1207"
"106.14.222.35","elite","AS37963","CN","Alibaba (US) Technology Co","192","Aliyun Computing Co., LTD","57568","socks5","1113","1","2023-03-09T11:06:31.828Z","99","1194","1208"
"192.163.252.85","elite","AS46606","US","Unified Layer","134","Unified Layer","52119","socks5","40","1","2023-03-09T11:08:18.721Z","99","1180","1188"
"212.83.143.151","elite","AS12876","FR","Online S.A.S.","0","ONLINE","43756","socks5","1190","1","2023-03-09T11:04:51.456Z","100","1206","1208"
"192.154.246.96","elite","AS64200","US","Vivid-hosting LLC","141","Vivid-hosting LLC","9000","socks5","1005","1","2023-03-09T11:02:23.349Z","100","1186","1189"
"150.230.62.147","elite","AS31898","JP","Oracle Corporation","234","Oracle Cloud Infrastructure (ap-osaka-1)","2080","socks5","1034","1","2023-03-09T11:01:45.303Z","13","152","1210"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","90","Zscaler, Inc.","10297","socks5","1113","1","2023-03-09T11:04:25.691Z","97","1158","1189"
"1.116.150.186","elite","AS45090","CN","China Internet Network Information Center","198","Tencent cloud computing (Beijing) Co., Ltd.","33333","socks5","1095","1","2023-03-09T11:06:38.947Z","97","1175","1207"
"37.193.227.108","elite","AS31200","RU","Novotelecom Ltd","96","Novotelecom ltd.","1080","socks5","1047","1","2023-03-09T11:01:30.477Z","50","591","1189"
"149.202.23.207","elite","AS16276","ES","OVH SAS","5","Hekmatyar Koko","16379","socks5","1011","1","2023-03-09T11:02:26.630Z","100","1209","1210"
"54.82.13.32","elite","AS14618","US","Amazon.com, Inc.","83","AWS EC2 (us-east-1)","9050","socks5","1164","1","2023-03-09T11:01:44.617Z","100","1188","1188"
"159.138.50.40","elite","AS136907","HK","Huawei International Pte. Ltd.","265","N/A","1080","socks5","1120","1","2023-03-09T11:01:58.901Z","83","999","1207"
"47.98.183.59","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","207","Aliyun Computing Co., LTD","3128","socks5","1155","1","2023-03-09T11:07:35.693Z","99","1170","1187"
"213.5.17.84","elite","AS44724","RU","USSURIYSK-OCTOPUSNET","155","Octopusnet LTD","1080","socks5","1183","1","2023-03-09T11:06:23.741Z","96","1163","1209"
"185.200.38.229","elite","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","69","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti","10820","socks5","1146","1","2023-03-09T11:01:35.994Z","99","1174","1186"
"64.90.48.27","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","24650","socks5","1103","1","2023-03-09T11:07:05.057Z","100","1206","1206"
"181.40.90.26","elite","AS23201","PY","Telecel S.A.","244","Telecel S.A","999","socks5","841","1","2023-03-09T11:01:06.848Z","100","1203","1208"
"178.128.151.87","elite","AS14061","US","DigitalOcean, LLC","81","Digitalocean","40081","socks5","121","1","2023-03-09T11:08:04.924Z","100","1186","1188"
"175.6.140.135","elite","AS63835","CN","No.293, Wanbao Avenue","226","Chinanet HN","38801","socks5","674","1","2023-03-09T11:02:36.707Z","93","1126","1205"
"212.83.142.149","elite","AS12876","FR","Online S.A.S.","1","ONLINE","52542","socks5","1277","1","2023-03-09T11:06:47.512Z","100","1185","1187"
"81.201.63.13","elite","AS8251","CZ","FreeTel, s.r.o.","29","Obcanske sdruzeni SPKFree.Net","36643","socks5","1196","1","2023-03-09T11:06:39.188Z","100","1207","1211"
"203.23.104.167","elite","AS209242","CY","Cloudflare London, LLC","1","Lachtaristo Holdings Limited","80","socks5","1220","1","2023-03-09T11:06:35.219Z","100","1186","1186"
"89.111.133.217","elite","AS48287","RU","JSC \"RU-CENTER\"","56","Center Network","9151","socks5","1174","1","2023-03-09T11:07:07.241Z","100","1205","1206"
"212.83.143.204","elite","AS12876","FR","Online S.A.S.","1","ONLINE","39480","socks5","1200","1","2023-03-09T11:06:52.338Z","100","1183","1186"
"159.69.117.155","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","42572","socks5","1055","1","2023-03-09T11:01:58.914Z","100","1210","1210"
"194.181.82.37","elite","AS8308","PL","NASK","34","N/A","7497","socks5","1165","1","2023-03-09T11:02:04.688Z","100","1183","1186"
"64.90.50.79","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","64862","socks5","547","1","2023-03-09T11:06:50.173Z","100","1205","1205"
"106.75.171.132","elite","AS136958","CN","UCLOUD","211","Shanghai UCloud Information Technology Company Limited","3000","socks5","1121","1","2023-03-09T11:06:35.961Z","80","951","1187"
"146.185.218.109","elite","AS210756","RU","EdgeCenter LLC","52","EdgeCenter LLC","15901","socks5","1339","1","2023-03-09T11:05:28.864Z","100","1208","1209"
"78.46.225.37","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","19051","socks5","1034","1","2023-03-09T11:04:11.315Z","100","1207","1207"
"188.165.201.173","elite","AS16276","FR","OVH SAS","4","OVH ISP","51102","socks5","1190","1","2023-03-09T11:06:34.522Z","100","1186","1186"
"148.251.48.208","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30208","socks5","1082","1","2023-03-09T11:03:44.601Z","100","1184","1186"
"165.225.240.95","elite","AS62044","NL","Zscaler Switzerland GmbH","17","Zscaler, Inc","10605","socks5","1189","1","2023-03-09T11:05:08.114Z","99","1176","1187"
"173.244.200.155","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","30109","socks5","523","1","2023-03-09T11:06:02.936Z","100","1208","1208"
"69.163.162.253","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","20676","socks5","1136","1","2023-03-09T11:07:41.193Z","100","1204","1205"
"61.182.224.169","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","191","N/A","7300","socks5","966","1","2023-03-09T11:03:58.707Z","99","1171","1187"
"134.119.184.235","elite","AS29066","FR","Host Europe GmbH","16","Bogdan Gribov","30912","socks5","1076","1","2023-03-09T11:01:43.554Z","100","1183","1185"
"172.104.251.179","elite","AS63949","DE","Akamai Technologies","11","Linode","80","socks5","1145","1","2023-03-09T11:03:16.770Z","100","1207","1207"
"199.60.103.160","elite","AS209242","US","Cloudflare London, LLC","2","HubSpot, Inc.","80","socks5","1096","1","2023-03-09T11:02:17.154Z","100","1185","1185"
"66.33.212.216","elite","AS26347","US","New Dream Network, LLC","82","New Dream Network, LLC","15891","socks5","354","1","2023-03-09T11:08:06.247Z","100","1181","1184"
"213.149.103.133","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","39","T ComServeri","61859","socks5","1168","1","2023-03-09T11:05:33.533Z","99","1202","1210"
"176.88.177.197","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","106","Guneydogu Telekom Internet Bilisim VE Iletisim HIZ TIC LTD","61080","socks5","1001","1","2023-03-09T11:05:11.375Z","98","1184","1210"
"82.196.25.134","elite","AS30781","FR","Datacenter DZ","7","Datacenter DZD","7497","socks5","895","1","2023-03-09T11:06:14.213Z","100","1209","1209"
"58.22.60.174","elite","AS4837","CN","CNCGroup CHINA169 FuJian province network","178","N/A","1080","socks5","1148","1","2023-03-09T11:01:34.568Z","100","1207","1210"
"54.38.195.161","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","63851","socks5","1275","1","2023-03-09T11:07:35.692Z","100","1206","1206"
"139.99.90.50","elite","AS16276","SG","OVH SAS","172","OVH Singapore PTE. LTD","10981","socks5","439","1","2023-03-09T11:05:47.317Z","100","1186","1186"
"46.101.99.250","elite","AS14061","DE","DigitalOcean, LLC","23","Digital Ocean","56632","socks5","1089","1","2023-03-09T11:03:39.938Z","100","1184","1185"
"39.108.113.204","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","214","Aliyun Computing Co., LTD","20000","socks5","597","1","2023-03-09T11:03:59.216Z","91","1094","1205"
"185.189.14.93","elite","AS50113","RU","NTX Technologies s.r.o.","49","First Server Limited","1195","socks5","803","1","2023-03-09T11:04:15.429Z","100","1183","1185"
"172.104.56.209","elite","AS63949","SG","Akamai Technologies","199","Linode","9050","socks5","1074","1","2023-03-09T11:05:56.704Z","100","1183","1185"
"182.253.159.153","elite","AS17451","ID","BIZNET","169","N/A","8080","socks5","557","1","2023-03-09T11:08:02.543Z","91","1107","1210"
"85.117.56.174","elite","AS20771","GE","Caucasus Online Ltd.","435","Caucasus","25777","socks5","1206","1","2023-03-09T11:07:35.283Z","98","1178","1206"
"75.119.203.88","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","15745","socks5","828","1","2023-03-09T11:08:10.049Z","100","1186","1186"
"195.154.43.86","elite","AS12876","FR","Online S.A.S.","1","ONLINE","37630","socks5","1041","1","2023-03-09T11:02:26.918Z","99","1169","1184"
"116.105.165.83","elite","AS24086","VN","Viettel Corporation","193","Viettel Group","1080","socks5","1007","1","2023-03-09T11:06:47.986Z","41","497","1206"
"172.67.181.144","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","352","1","2023-03-09T11:05:47.832Z","100","1184","1184"
"188.133.153.60","elite","AS21353","RU","Enforta-MSK","96","N/A","8080","socks5","903","1","2023-03-09T11:04:05.667Z","97","1151","1183"
"51.81.122.151","elite","AS16276","US","OVH SAS","83","OVH US LLC","62611","socks5","1285","1","2023-03-09T11:06:43.654Z","85","1029","1209"
"45.249.78.193","elite","AS18229","IN","Tejasri Communications","218","N/A","3629","socks5","1165","1","2023-03-09T11:01:17.698Z","100","1207","1209"
"129.226.90.169","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","311","Aceville Pte.ltd","443","socks5","1122","1","2023-03-09T11:05:25.901Z","78","945","1205"
"43.128.3.115","elite","AS132203","HK","Aceville Pte.ltd","239","N/A","1080","socks5","1009","1","2023-03-09T11:03:40.936Z","100","1179","1183"
"172.64.86.217","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1158","1","2023-03-09T11:06:38.946Z","100","1184","1184"
"79.132.221.162","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","184","Fanaptelecom Network","5678","socks5","1113","1","2023-03-09T11:03:16.774Z","94","1132","1205"
"119.29.84.133","elite","AS45090","HK","Shenzhen Tencent Computer Systems Company Limited","209","Tencent cloud computing (Beijing) Co., Ltd.","20806","socks5","1102","1","2023-03-09T11:04:19.047Z","94","1114","1185"
"180.107.115.104","elite","AS4134","CN","Chinanet","223","Chinanet JS","1080","socks5","1062","1","2023-03-09T11:04:21.627Z","64","762","1184"
"203.30.191.34","elite","AS209242","BZ","Cloudflare London","1","Umpire Associates LTD","80","socks5","1089","1","2023-03-09T11:03:36.031Z","100","1209","1209"
